Model,Cores,Threads,Base Clock (GHz),Boost Clock (GHz),TDP (W),Socket,Platform,Integrated Graphics,L3 Cache (MB),Manufacturer
Intel® Core™ i5-3210M Processor,2.0,4.0,2.5,3.1,0.0,FCBGA1023,Laptop,Intel® HD Graphics 4000,3.0,Intel
Intel® Core™ i5-3210M Processor,2.0,4.0,2.5,3.1,0.0,FCPGA988,Laptop,Intel® HD Graphics 4000,3.0,Intel
Intel® Core™ i5-3230M Processor,2.0,4.0,2.6,3.2,0.0,FCBGA1023,Laptop,Intel® HD Graphics 4000,3.0,Intel
Intel® Core™ i5-3230M Processor,2.0,4.0,2.6,3.2,0.0,FCPGA988,Laptop,Intel® HD Graphics 4000,3.0,Intel
Intel® Core™ i5-3317U Processor,2.0,4.0,1.7,2.6,0.0,FCBGA1023,Laptop,Intel® HD Graphics 4000,3.0,Intel
Intel® Core™ i5-3320M Processor,2.0,4.0,2.6,3.3,0.0,FCPGA988. FCBGA1023,Laptop,Intel® HD Graphics 4000,3.0,Intel
Intel® Core™ i5-3337U Processor,2.0,4.0,1.8,2.7,0.0,FCBGA1023,Laptop,Intel® HD Graphics 4000,3.0,Intel
Intel® Core™ i5-3339Y Processor,2.0,4.0,1.5,2.0,0.0,FCBGA1023,Laptop,Intel® HD Graphics 4000,3.0,Intel
Intel® Core™ i5-3340M Processor,2.0,4.0,2.7,3.4,0.0,FCPGA988. FCBGA1023,Laptop,Intel® HD Graphics 4000,3.0,Intel
Intel® Core™ i5-3360M Processor,2.0,4.0,2.8,3.5,0.0,FCPGA988. FCBGA1023,Laptop,Intel® HD Graphics 4000,3.0,Intel
Intel® Core™ i5-3380M Processor,2.0,4.0,2.9,3.6,0.0,FCPGA988. FCBGA1023,Laptop,Intel® HD Graphics 4000,3.0,Intel
Intel® Core™ i5-3427U Processor,2.0,4.0,1.8,2.8,0.0,FCBGA1023,Laptop,Intel® HD Graphics 4000,3.0,Intel
Intel® Core™ i5-3437U Processor,2.0,4.0,1.9,2.9,0.0,FCBGA1023,Laptop,Intel® HD Graphics 4000,3.0,Intel
Intel® Core™ i5-3439Y Processor,2.0,4.0,1.5,2.3,0.0,FCBGA1023,Laptop,Intel® HD Graphics 4000,3.0,Intel
Intel® Core™ i5-3470T Processor,2.0,4.0,2.9,3.6,0.0,FCLGA1155,Desktop,Intel® HD Graphics 2500,3.0,Intel
Intel® Core™ i5-3610ME Processor,2.0,4.0,2.7,3.3,0.0,FCPGA988. FCBGA1023,Other,Intel® HD Graphics 4000,3.0,Intel
Intel® Core™ i5-4200H Processor,2.0,4.0,2.8,3.4,0.0,FCBGA1364,Laptop,Intel® HD Graphics 4600,3.0,Intel
Intel® Core™ i5-4200M Processor,2.0,4.0,2.5,3.1,0.0,FCPGA946,Laptop,Intel® HD Graphics 4600,3.0,Intel
Intel® Core™ i5-4200U Processor,2.0,4.0,1.6,2.6,0.0,FCBGA1168,Laptop,Intel® HD Graphics 4400,3.0,Intel
Intel® Core™ i5-4200Y Processor,2.0,4.0,1.4,1.9,0.0,FCBGA1168,Laptop,Intel® HD Graphics 4200,3.0,Intel
Intel® Core™ i5-4202Y Processor,2.0,4.0,1.6,2.0,0.0,FCBGA1168,Laptop,Intel® HD Graphics 4200,3.0,Intel
Intel® Core™ i5-4210H Processor,2.0,4.0,2.9,3.5,0.0,FCBGA1364,Laptop,Intel® HD Graphics 4600,3.0,Intel
Intel® Core™ i5-4210M Processor,2.0,4.0,2.6,3.2,0.0,FCPGA946,Laptop,Intel® HD Graphics 4600,3.0,Intel
Intel® Core™ i5-4210U Processor,2.0,4.0,1.7,2.7,0.0,FCBGA1168,Laptop,Intel® HD Graphics 4400,3.0,Intel
Intel® Core™ i5-4210Y Processor,2.0,4.0,1.5,1.9,0.0,FCBGA1168,Laptop,Intel® HD Graphics 4200,3.0,Intel
Intel® Core™ i5-4220Y Processor,2.0,4.0,1.6,2.0,0.0,FCBGA1168,Laptop,Intel® HD Graphics 4200,3.0,Intel
Intel® Core™ i5-4250U Processor,2.0,4.0,1.3,2.6,0.0,FCBGA1168,Laptop,Intel® HD Graphics 5000,3.0,Intel
Intel® Core™ i5-4258U Processor,2.0,4.0,2.4,2.9,0.0,FCBGA1168,Laptop,Intel® Iris® Graphics 5100,3.0,Intel
Intel® Core™ i5-4260U Processor,2.0,4.0,1.4,2.7,0.0,FCBGA1168,Laptop,Intel® HD Graphics 5000,3.0,Intel
Intel® Core™ i5-4278U Processor,2.0,4.0,2.6,3.1,0.0,FCBGA1168,Laptop,Intel® Iris® Graphics 5100,3.0,Intel
Intel® Core™ i5-4288U Processor,2.0,4.0,2.6,3.1,0.0,FCBGA1168,Laptop,Intel® Iris® Graphics 5100,3.0,Intel
Intel® Core™ i5-4300M Processor,2.0,4.0,2.6,3.3,0.0,FCPGA946,Laptop,Intel® HD Graphics 4600,3.0,Intel
Intel® Core™ i5-4300U Processor,2.0,4.0,1.9,2.9,0.0,FCBGA1168,Laptop,Intel® HD Graphics 4400,3.0,Intel
Intel® Core™ i5-4300Y Processor,2.0,4.0,1.6,2.3,0.0,FCBGA1168,Laptop,Intel® HD Graphics 4200,3.0,Intel
Intel® Core™ i5-4302Y Processor,2.0,4.0,1.6,2.3,0.0,N/A,Laptop,Intel® HD Graphics 4200,3.0,Intel
Intel® Core™ i5-4308U Processor,2.0,4.0,2.8,3.3,0.0,FCBGA1168,Laptop,Intel® Iris® Graphics 5100,3.0,Intel
Intel® Core™ i5-430M Processor,2.0,4.0,2.26,2.53,0.0,BGA1288. PGA988,Laptop,Intel® HD Graphics for Previous Generation Intel® Processors,3.0,Intel
Intel® Core™ i5-430UM Processor,2.0,4.0,1.2,1.73,0.0,BGA1288,Laptop,Intel® HD Graphics for Previous Generation Intel® Processors,3.0,Intel
Intel® Core™ i5-4310M Processor,2.0,4.0,2.7,3.4,0.0,N/A,Laptop,Intel® HD Graphics 4600,3.0,Intel
Intel® Core™ i5-4310U Processor,2.0,4.0,2.0,3.0,0.0,FCBGA1168,Laptop,Intel® HD Graphics 4400,3.0,Intel
Intel® Core™ i5-4330M Processor,2.0,4.0,2.8,3.5,0.0,FCPGA946,Laptop,Intel® HD Graphics 4600,3.0,Intel
Intel® Core™ i5-4340M Processor,2.0,4.0,2.9,3.6,0.0,FCPGA946,Laptop,Intel® HD Graphics 4600,3.0,Intel
Intel® Core™ i5-4350U Processor,2.0,4.0,1.4,2.9,0.0,FCBGA1168,Laptop,Intel® HD Graphics 5000,3.0,Intel
Intel® Core™ i5-4360U Processor,2.0,4.0,1.5,3.0,0.0,N/A,Laptop,Intel® HD Graphics 5000,3.0,Intel
Intel® Core™ i5-4400E Processor,2.0,4.0,2.7,3.3,0.0,FCBGA1364,Other,Intel® HD Graphics 4600,3.0,Intel
Intel® Core™ i5-4402E Processor,2.0,4.0,1.6,2.7,0.0,FCBGA1364,Other,Intel® HD Graphics 4600,3.0,Intel
Intel® Core™ i5-4402EC Processor,2.0,4.0,2.5,0.0,0.0,FCBGA1364,Other,None,4.0,Intel
Intel® Core™ i5-4410E Processor,2.0,4.0,2.9,0.0,0.0,FCBGA1364,Other,Intel® HD Graphics 4600,3.0,Intel
Intel® Core™ i5-4422E Processor,2.0,4.0,1.8,2.9,0.0,FCBGA1364,Other,Intel® HD Graphics 4600,3.0,Intel
Intel® Core™ i5-450M Processor,2.0,4.0,2.4,2.66,0.0,PGA988,Laptop,Intel® HD Graphics for Previous Generation Intel® Processors,3.0,Intel
Intel® Core™ i5-4570T Processor,2.0,4.0,2.9,3.6,0.0,FCLGA1150,Desktop,Intel® HD Graphics 4600,4.0,Intel
Intel® Core™ i5-4570TE Processor,2.0,4.0,2.7,3.3,0.0,FCLGA1150,Other,Intel® HD Graphics 4600,4.0,Intel
Intel® Core™ i5-460M Processor,2.0,4.0,2.53,2.8,0.0,BGA1288. PGA988,Laptop,Intel® HD Graphics for Previous Generation Intel® Processors,3.0,Intel
Intel® Core™ i5-470UM Processor,2.0,4.0,1.33,1.86,0.0,BGA1288,Laptop,Intel® HD Graphics for Previous Generation Intel® Processors,3.0,Intel
Intel® Core™ i5-480M Processor,2.0,4.0,2.66,2.93,0.0,BGA1288. PGA988,Laptop,Intel® HD Graphics for Previous Generation Intel® Processors,3.0,Intel
Intel® Core™ i5-5200U Processor,2.0,4.0,2.2,2.7,0.0,FCBGA1168,Laptop,Intel® HD Graphics 5500,3.0,Intel
Intel® Core™ i5-520E Processor,2.0,4.0,2.4,2.93,0.0,BGA1288,Other,None,3.0,Intel
Intel® Core™ i5-520M Processor,2.0,4.0,2.4,2.93,0.0,PGA988. BGA1288,Laptop,Intel® HD Graphics for Previous Generation Intel® Processors,3.0,Intel
Intel® Core™ i5-520UM Processor,2.0,4.0,1.07,1.87,0.0,BGA1288,Laptop,Intel® HD Graphics for Previous Generation Intel® Processors,3.0,Intel
Intel® Core™ i5-5250U Processor,2.0,4.0,1.6,2.7,0.0,FCBGA1168,Laptop,Intel® HD Graphics 6000,3.0,Intel
Intel® Core™ i5-5257U Processor,2.0,4.0,2.7,3.1,0.0,FCBGA1168,Laptop,Intel® Iris® Graphics 6100,3.0,Intel
Intel® Core™ i5-5287U Processor,2.0,4.0,2.9,3.3,0.0,FCBGA1168,Laptop,Intel® Iris® Graphics 6100,3.0,Intel
Intel® Core™ i5-5300U Processor,2.0,4.0,2.3,2.9,0.0,FCBGA1168,Laptop,Intel® HD Graphics 5500,3.0,Intel
Intel® Core™ i5-5350H Processor,2.0,4.0,3.1,3.5,0.0,FCBGA1364,Laptop,Intel® Iris® Pro Graphics 6200,4.0,Intel
Intel® Core™ i5-5350U Processor,2.0,4.0,1.8,2.9,0.0,FCBGA1168,Laptop,Intel® HD Graphics 6000,3.0,Intel
Intel® Core™ i5-540M Processor,2.0,4.0,2.53,3.07,0.0,BGA1288. PGA988,Laptop,Intel® HD Graphics for Previous Generation Intel® Processors,3.0,Intel
Intel® Core™ i5-540UM Processor,2.0,4.0,1.2,2.0,0.0,BGA1288,Laptop,Intel® HD Graphics for Previous Generation Intel® Processors,3.0,Intel
Intel® Core™ i5-560M Processor,2.0,4.0,2.66,3.2,0.0,BGA1288. PGA988,Laptop,Intel® HD Graphics for Previous Generation Intel® Processors,3.0,Intel
Intel® Core™ i5-560UM Processor,2.0,4.0,1.33,2.13,0.0,BGA1288,Laptop,Intel® HD Graphics for Previous Generation Intel® Processors,3.0,Intel
Intel® Core™ i5-580M Processor,2.0,4.0,2.66,3.33,0.0,BGA1288. PGA988,Laptop,Intel® HD Graphics for Previous Generation Intel® Processors,3.0,Intel
Intel® Core™ i5-6200U Processor,2.0,4.0,2.3,2.8,0.0,FCBGA1356,Laptop,Intel® HD Graphics 520,3.0,Intel
Intel® Core™ i5-6260U Processor,2.0,4.0,1.8,2.9,0.0,FCBGA1356,Laptop,Intel® Iris® Graphics 540,4.0,Intel
Intel® Core™ i5-6267U Processor,2.0,4.0,2.9,3.3,0.0,FCBGA1356,Laptop,Intel® Iris® Graphics 550,4.0,Intel
Intel® Core™ i5-6287U Processor,2.0,4.0,3.1,3.5,0.0,FCBGA1356,Laptop,Intel® Iris® Graphics 550,4.0,Intel
Intel® Core™ i5-6300U Processor,2.0,4.0,2.4,3.0,0.0,FCBGA1356,Laptop,Intel® HD Graphics 520,3.0,Intel
Intel® Core™ i5-6360U Processor,2.0,4.0,2.0,3.1,0.0,FCBGA1356,Laptop,Intel® Iris® Graphics 540,4.0,Intel
Intel® Core™ i5-650 Processor,2.0,4.0,3.2,3.46,0.0,FCLGA1156,Desktop,Intel® HD Graphics for Previous Generation Intel® Processors,4.0,Intel
Intel® Core™ i5-655K Processor,2.0,4.0,3.2,3.46,0.0,FCLGA1156,Desktop,Intel® HD Graphics for Previous Generation Intel® Processors,4.0,Intel
Intel® Core™ i5-660 Processor,2.0,4.0,3.33,3.6,0.0,FCLGA1156,Desktop,Intel® HD Graphics for Previous Generation Intel® Processors,4.0,Intel
Intel® Core™ i5-661 Processor,2.0,4.0,3.33,3.6,0.0,FCLGA1156,Desktop,Intel® HD Graphics for Previous Generation Intel® Processors,4.0,Intel
Intel® Core™ i5-670 Processor,2.0,4.0,3.46,3.73,0.0,FCLGA1156,Desktop,Intel® HD Graphics for Previous Generation Intel® Processors,4.0,Intel
Intel® Core™ i5-680 Processor,2.0,4.0,3.6,3.86,0.0,FCLGA1156,Desktop,Intel® HD Graphics for Previous Generation Intel® Processors,4.0,Intel
Intel® Core™ i5-7200U Processor,2.0,4.0,2.5,3.1,0.0,FCBGA1356,Laptop,Intel® HD Graphics 620,3.0,Intel
Intel® Core™ i5-7260U Processor,2.0,4.0,2.2,3.4,0.0,FCBGA1356,Laptop,Intel® Iris® Plus Graphics 640,4.0,Intel
Intel® Core™ i5-7267U Processor,2.0,4.0,3.1,3.5,0.0,N/A,Laptop,Intel® Iris® Plus Graphics 650,4.0,Intel
Intel® Core™ i5-7287U Processor,2.0,4.0,3.3,3.7,0.0,N/A,Laptop,Intel® Iris® Plus Graphics 650,4.0,Intel
Intel® Core™ i5-7300U Processor,2.0,4.0,2.6,3.5,0.0,FCBGA1356,Laptop,Intel® HD Graphics 620,3.0,Intel
Intel® Core™ i5-7360U Processor,2.0,4.0,2.3,3.6,0.0,FCBGA1356,Laptop,Intel® Iris® Plus Graphics 640,4.0,Intel
Intel® Core™ i5-7Y54 Processor,2.0,4.0,1.2,3.2,0.0,FCBGA1515,Laptop,Intel® HD Graphics 615,4.0,Intel
Intel® Core™ i5-7Y57 Processor,2.0,4.0,1.2,3.3,0.0,FCBGA1515,Laptop,Intel® HD Graphics 615,4.0,Intel
Intel® Core™ i5-8200Y Processor,2.0,4.0,1.3,3.9,0.0,FCBGA1515,Laptop,Intel® UHD Graphics 615,4.0,Intel
Intel® Core™ i5-8210Y Processor,2.0,4.0,1.6,3.6,0.0,FCBGA1515,Laptop,Intel® UHD Graphics 617,4.0,Intel
Intel® Core™ i5-8310Y Processor,2.0,4.0,1.6,3.9,0.0,FCBGA1515,Laptop,Intel® UHD Graphics 617,4.0,Intel
Intel® Core™ i7-2610UE Processor,2.0,4.0,1.5,2.4,0.0,FCBGA1023,Other,Intel® HD Graphics 3000,4.0,Intel
Intel® Core™ i7-2617M Processor,2.0,4.0,1.5,2.6,0.0,FCBGA1023,Laptop,Intel® HD Graphics 3000,4.0,Intel
Intel® Core™ i7-2620M Processor,2.0,4.0,2.7,3.4,0.0,FCBGA1023. PPGA988,Laptop,Intel® HD Graphics 3000,4.0,Intel
Intel® Core™ i7-2629M Processor,2.0,4.0,2.1,3.0,0.0,FCBGA1023,Laptop,Intel® HD Graphics 3000,4.0,Intel
Intel® Core™ i7-2637M Processor,2.0,4.0,1.7,2.8,0.0,FCBGA1023,Laptop,Intel® HD Graphics 3000,4.0,Intel
Intel® Core™ i7-2640M Processor,2.0,4.0,2.8,3.5,0.0,FCBGA1023. PPGA988,Laptop,Intel® HD Graphics 3000,4.0,Intel
Intel® Core™ i7-2649M Processor,2.0,4.0,2.3,3.2,0.0,FCBGA1023,Laptop,Intel® HD Graphics 3000,4.0,Intel
Intel® Core™ i7-2655LE Processor,2.0,4.0,2.2,2.9,0.0,FCBGA1023,Other,Intel® HD Graphics 3000,4.0,Intel
Intel® Core™ i7-2657M Processor,2.0,4.0,1.6,2.7,0.0,FCBGA1023,Laptop,Intel® HD Graphics 3000,4.0,Intel
Intel® Core™ i7-2677M Processor,2.0,4.0,1.8,2.9,0.0,FCBGA1023,Laptop,Intel® HD Graphics 3000,4.0,Intel
Intel® Core™ i7-3517U Processor,2.0,4.0,1.9,3.0,0.0,FCBGA1023,Laptop,Intel® HD Graphics 4000,4.0,Intel
Intel® Core™ i7-3517UE Processor,2.0,4.0,1.7,2.8,0.0,FCBGA1023,Other,Intel® HD Graphics 4000,4.0,Intel
Intel® Core™ i7-3520M Processor,2.0,4.0,2.9,3.6,0.0,FCPGA988. FCBGA1023,Laptop,Intel® HD Graphics 4000,4.0,Intel
Intel® Core™ i7-3537U Processor,2.0,4.0,2.0,3.1,0.0,FCBGA1023,Laptop,Intel® HD Graphics 4000,4.0,Intel
Intel® Core™ i7-3540M Processor,2.0,4.0,3.0,3.7,0.0,FCBGA1023. FCPGA988,Laptop,Intel® HD Graphics 4000,4.0,Intel
Intel® Core™ i7-3555LE Processor,2.0,4.0,2.5,3.2,0.0,FCBGA1023,Other,Intel® HD Graphics 4000,4.0,Intel
Intel® Core™ i7-3667U Processor,2.0,4.0,2.0,3.2,0.0,FCBGA1023,Laptop,Intel® HD Graphics 4000,4.0,Intel
Intel® Core™ i7-3687U Processor,2.0,4.0,2.1,3.3,0.0,FCBGA1023,Laptop,Intel® HD Graphics 4000,4.0,Intel
Intel® Core™ i7-3689Y Processor,2.0,4.0,1.5,2.6,0.0,FCBGA1023,Laptop,Intel® HD Graphics 4000,4.0,Intel
Intel® Core™ i7-4500U Processor,2.0,4.0,1.8,3.0,0.0,FCBGA1168,Laptop,Intel® HD Graphics 4400,4.0,Intel
Intel® Core™ i7-4510U Processor,2.0,4.0,2.0,3.1,0.0,FCBGA1168,Laptop,Intel® HD Graphics 4400,4.0,Intel
Intel® Core™ i7-4550U Processor,2.0,4.0,1.5,3.0,0.0,FCBGA1168,Laptop,Intel® HD Graphics 5000,4.0,Intel
Intel® Core™ i7-4558U Processor,2.0,4.0,2.8,3.3,0.0,FCBGA1168,Laptop,Intel® Iris® Graphics 5100,4.0,Intel
Intel® Core™ i7-4578U Processor,2.0,4.0,3.0,3.5,0.0,FCBGA1168,Laptop,Intel® Iris® Graphics 5100,4.0,Intel
Intel® Core™ i7-4600M Processor,2.0,4.0,2.9,3.6,0.0,FCPGA946,Laptop,Intel® HD Graphics 4600,4.0,Intel
Intel® Core™ i7-4600U Processor,2.0,4.0,2.1,3.3,0.0,FCBGA1168,Laptop,Intel® HD Graphics 4400,4.0,Intel
Intel® Core™ i7-4610M Processor,2.0,4.0,3.0,3.7,0.0,N/A,Laptop,Intel® HD Graphics 4600,4.0,Intel
Intel® Core™ i7-4610Y Processor,2.0,4.0,1.7,2.9,0.0,FCBGA1168,Laptop,Intel® HD Graphics 4200,4.0,Intel
Intel® Core™ i7-4650U Processor,2.0,4.0,1.7,3.3,0.0,FCBGA1168,Laptop,Intel® HD Graphics 5000,4.0,Intel
Intel® Core™ i7-5500U Processor,2.0,4.0,2.4,3.0,0.0,FCBGA1168,Laptop,Intel® HD Graphics 5500,4.0,Intel
Intel® Core™ i7-5550U Processor,2.0,4.0,2.0,3.0,0.0,FCBGA1168,Laptop,Intel® HD Graphics 6000,4.0,Intel
Intel® Core™ i7-5557U Processor,2.0,4.0,3.1,3.4,0.0,FCBGA1168,Laptop,Intel® Iris® Graphics 6100,4.0,Intel
Intel® Core™ i7-5600U Processor,2.0,4.0,2.6,3.2,0.0,FCBGA1168,Laptop,Intel® HD Graphics 5500,4.0,Intel
Intel® Core™ i7-5650U Processor,2.0,4.0,2.2,3.1,0.0,FCBGA1168,Laptop,Intel® HD Graphics 6000,4.0,Intel
Intel® Core™ i7-610E Processor,2.0,4.0,2.53,3.2,0.0,BGA1288,Laptop,Intel® HD Graphics for Previous Generation Intel® Processors,4.0,Intel
Intel® Core™ i7-620LE Processor,2.0,4.0,2.0,2.8,0.0,BGA1288,Other,None,4.0,Intel
Intel® Core™ i7-620LM Processor,2.0,4.0,2.0,2.8,0.0,BGA1288,Laptop,Intel® HD Graphics for Previous Generation Intel® Processors,4.0,Intel
Intel® Core™ i7-620M Processor,2.0,4.0,2.66,3.33,0.0,BGA1288. PGA988,Laptop,Intel® HD Graphics for Previous Generation Intel® Processors,4.0,Intel
Intel® Core™ i7-620UE Processor,2.0,4.0,1.06,2.13,0.0,BGA1288,Other,None,4.0,Intel
Intel® Core™ i7-620UM Processor,2.0,4.0,1.06,2.13,0.0,BGA1288,Laptop,Intel® HD Graphics for Previous Generation Intel® Processors,4.0,Intel
Intel® Core™ i7-640LM Processor,2.0,4.0,2.13,2.93,0.0,BGA1288,Laptop,Intel® HD Graphics for Previous Generation Intel® Processors,4.0,Intel
Intel® Core™ i7-640M Processor,2.0,4.0,2.8,3.46,0.0,BGA1288. PGA988,Laptop,Intel® HD Graphics for Previous Generation Intel® Processors,4.0,Intel
Intel® Core™ i7-640UM Processor,2.0,4.0,1.2,2.27,0.0,BGA1288,Laptop,Intel® HD Graphics for Previous Generation Intel® Processors,4.0,Intel
Intel® Core™ i7-6500U Processor,2.0,4.0,2.5,3.1,0.0,FCBGA1356,Laptop,Intel® HD Graphics 520,4.0,Intel
Intel® Core™ i7-6560U Processor,2.0,4.0,2.2,3.2,0.0,N/A,Laptop,Intel® Iris® Graphics 540,4.0,Intel
Intel® Core™ i7-6567U Processor,2.0,4.0,3.3,3.6,0.0,FCBGA1356,Laptop,Intel® Iris® Graphics 550,4.0,Intel
Intel® Core™ i7-6600U Processor,2.0,4.0,2.6,3.4,0.0,FCBGA1356,Laptop,Intel® HD Graphics 520,4.0,Intel
Intel® Core™ i7-660LM Processor,2.0,4.0,2.26,3.06,0.0,N/A,Laptop,Intel® HD Graphics for Previous Generation Intel® Processors,4.0,Intel
Intel® Core™ i7-660UE Processor,2.0,4.0,1.33,2.4,0.0,BGA1288,Laptop,Intel® HD Graphics for Previous Generation Intel® Processors,4.0,Intel
Intel® Core™ i7-660UM Processor,2.0,4.0,1.33,2.4,0.0,BGA1288,Laptop,Intel® HD Graphics for Previous Generation Intel® Processors,4.0,Intel
Intel® Core™ i7-6650U Processor,2.0,4.0,2.2,3.4,0.0,FCBGA1356,Laptop,Intel® Iris® Graphics 540,4.0,Intel
Intel® Core™ i7-6660U Processor,2.0,4.0,2.4,3.4,0.0,FCBGA1356,Laptop,Intel® Iris® Graphics 540,4.0,Intel
Intel® Core™ i7-680UM Processor,2.0,4.0,1.46,2.53,0.0,BGA1288,Laptop,Intel® HD Graphics for Previous Generation Intel® Processors,4.0,Intel
Intel® Core™ i7-7500U Processor,2.0,4.0,2.7,3.5,0.0,FCBGA1356,Laptop,Intel® HD Graphics 620,4.0,Intel
Intel® Core™ i7-7560U Processor,2.0,4.0,2.4,3.8,0.0,FCBGA1356,Laptop,Intel® Iris® Plus Graphics 640,4.0,Intel
Intel® Core™ i7-7567U Processor,2.0,4.0,3.5,4.0,0.0,N/A,Laptop,Intel® Iris® Plus Graphics 650,4.0,Intel
Intel® Core™ i7-7600U Processor,2.0,4.0,2.8,3.9,0.0,FCBGA1356,Laptop,Intel® HD Graphics 620,4.0,Intel
Intel® Core™ i7-7660U Processor,2.0,4.0,2.5,4.0,0.0,FCBGA1356,Laptop,Intel® Iris® Plus Graphics 640,4.0,Intel
Intel® Core™ i7-7Y75 Processor,2.0,4.0,1.3,3.6,0.0,FCBGA1515,Laptop,Intel® HD Graphics 615,4.0,Intel
Intel® Core™ i7-8500Y Processor,2.0,4.0,1.5,4.2,0.0,FCBGA1515,Laptop,Intel® UHD Graphics 615,4.0,Intel
Intel® Core™ m3-6Y30 Processor,2.0,4.0,900.0,2.2,0.0,FCBGA1515,Laptop,Intel® HD Graphics 515,4.0,Intel
Intel® Core™ m3-7Y30 Processor,2.0,4.0,1.0,2.6,0.0,FCBGA1515,Laptop,Intel® HD Graphics 615,4.0,Intel
Intel® Core™ m3-7Y32 Processor,2.0,4.0,1.1,3.0,0.0,FCBGA1515,Laptop,Intel® HD Graphics 615,4.0,Intel
Intel® Core™ m3-8100Y Processor,2.0,4.0,1.1,3.4,0.0,FCBGA1515,Laptop,Intel® UHD Graphics 615,4.0,Intel
Intel® Core™ m5-6Y54 Processor,2.0,4.0,1.1,2.7,0.0,FCBGA1515,Laptop,Intel® HD Graphics 515,4.0,Intel
Intel® Core™ m5-6Y57 Processor,2.0,4.0,1.1,2.8,0.0,FCBGA1515,Laptop,Intel® HD Graphics 515,4.0,Intel
Intel® Core™ m7-6Y75 Processor,2.0,4.0,1.2,3.1,0.0,FCBGA1515,Laptop,Intel® HD Graphics 515,4.0,Intel
Intel® Core™2 Duo Processor E7500,2.0,0.0,2.93,0.0,0.0,LGA775,Desktop,None,3.0,Intel
Intel® Core™2 Duo Processor E7600,2.0,0.0,3.06,0.0,0.0,LGA775,Desktop,None,3.0,Intel
Intel® Core™2 Duo Processor P7450,2.0,0.0,2.13,0.0,0.0,PGA478,Laptop,None,3.0,Intel
Intel® Core™2 Duo Processor P7550,2.0,0.0,2.26,0.0,0.0,PGA478,Laptop,None,3.0,Intel
Intel® Core™2 Duo Processor P7570,2.0,0.0,2.26,0.0,0.0,PGA478,Laptop,None,3.0,Intel
Intel® Core™2 Duo Processor P8700,2.0,0.0,2.53,0.0,0.0,BGA479. PGA478,Laptop,None,3.0,Intel
Intel® Core™2 Duo Processor P8800,2.0,0.0,2.66,0.0,0.0,PGA478. BGA479,Laptop,None,3.0,Intel
Intel® Core™2 Duo Processor P9600,2.0,0.0,2.66,0.0,0.0,PGA478,Laptop,None,6.0,Intel
Intel® Core™2 Duo Processor P9700,2.0,0.0,2.8,0.0,0.0,PGA478,Laptop,None,6.0,Intel
Intel® Core™2 Duo Processor SL9380,2.0,0.0,1.8,0.0,0.0,BGA956,Laptop,None,6.0,Intel
Intel® Core™2 Duo Processor SL9600,2.0,0.0,2.13,0.0,0.0,BGA956,Laptop,None,6.0,Intel
Intel® Core™2 Duo Processor SP9600,2.0,0.0,2.53,0.0,0.0,BGA956,Laptop,None,6.0,Intel
Intel® Core™2 Duo Processor SU9600,2.0,0.0,1.6,0.0,0.0,BGA956,Laptop,None,3.0,Intel
Intel® Core™2 Duo Processor T6400,2.0,0.0,2.0,0.0,0.0,PGA478,Laptop,None,2.0,Intel
Intel® Core™2 Duo Processor T6500,2.0,0.0,2.1,0.0,0.0,N/A,Laptop,None,2.0,Intel
Intel® Core™2 Duo Processor T6600,2.0,0.0,2.2,0.0,0.0,PGA478,Laptop,None,2.0,Intel
Intel® Core™2 Duo Processor T6670,2.0,0.0,2.2,0.0,0.0,PGA478,Laptop,None,2.0,Intel
Intel® Core™2 Duo Processor T9550,2.0,0.0,2.66,0.0,0.0,BGA479. PGA478,Laptop,None,6.0,Intel
Intel® Core™2 Duo Processor T9800,2.0,0.0,2.93,0.0,0.0,PGA478. BGA479,Laptop,None,6.0,Intel
Intel® Core™2 Duo Processor T9900,2.0,0.0,3.06,0.0,0.0,BGA479. PGA478,Laptop,None,6.0,Intel
Intel® Itanium® Processor 9015,2.0,0.0,1.4,0.0,0.0,PPGA611,Server,None,12.0,Intel
Intel® Itanium® Processor 9120N,2.0,0.0,1.42,0.0,0.0,PPGA611,Server,None,12.0,Intel
Intel® Itanium® Processor 9130M,2.0,0.0,1.66,0.0,0.0,PPGA611,Server,None,8.0,Intel
Intel® Itanium® Processor 9140M,2.0,0.0,1.66,0.0,0.0,PPGA611,Server,None,18.0,Intel
Intel® Itanium® Processor 9140N,2.0,0.0,1.6,0.0,0.0,PPGA611,Server,None,18.0,Intel
Intel® Itanium® Processor 9150M,2.0,0.0,1.66,0.0,0.0,PPGA611,Server,None,24.0,Intel
Intel® Itanium® Processor 9150N,2.0,0.0,1.6,0.0,0.0,PPGA611,Server,None,24.0,Intel
Intel® Itanium® Processor 9152M,2.0,0.0,1.66,0.0,0.0,N/A,Server,None,24.0,Intel
Intel® Itanium® Processor 9310,2.0,4.0,1.6,0.0,0.0,FCLGA1248,Server,None,10.0,Intel
Intel® Pentium® D Processor 805,2.0,0.0,2.66,0.0,0.0,PLGA775,Desktop,None,2.0,Intel
Intel® Pentium® D Processor 820,2.0,0.0,2.8,0.0,0.0,PLGA775,Desktop,None,2.0,Intel
Intel® Pentium® D Processor 830,2.0,0.0,3.0,0.0,0.0,PLGA775,Desktop,None,2.0,Intel
